Activity_Type,Date,Title,Race,Distance,Calories,Time,Avg_HR,Max_HR,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Best_Lap_Time,Moving_Time,Min_Elevation,Max_Elevation,7_More_Hours_Sleep
Treadmill Running,6/20/22 12:41,Treadmill Running,No,3.02,288,00:25:45,159,176,142,240,08:32,07:07,--,--,1.33,00:06.9,00:24:13,--,--,Yes
Treadmill Running,6/29/22 13:24,Treadmill Running,No,3.12,251,00:28:32,137,161,138,157,09:08,07:25,--,--,1.27,00:55.8,00:27:38,--,--,Yes
Treadmill Running,6/30/22 14:01,Treadmill Running,No,4.02,372,00:34:07,155,171,144,157,08:29,07:16,--,--,1.31,00:07.9,00:33:10,--,--,Yes
Treadmill Running,7/1/22 11:15,Treadmill Running,No,7.53,686,01:04:00,157,172,142,209,08:30,05:32,--,--,1.33,03:59.6,01:01:08,--,--,Yes
Treadmill Running,7/2/22 12:35,Treadmill Running,No,5.03,444,00:43:55,150,169,140,244,08:44,05:58,--,--,1.31,00:13.4,00:42:10,--,--,Yes
Treadmill Running,7/2/22 13:45,Treadmill Running,No,3.12,288,00:27:00,152,187,142,162,08:40,07:11,--,--,1.31,00:51.2,00:25:47,--,--,Yes
Treadmill Running,7/3/22 12:44,Treadmill Running,No,7.22,602,01:02:30,148,169,140,162,08:39,07:08,--,--,1.33,01:37.3,00:58:38,--,--,Yes
Treadmill Running,7/4/22 12:14,Treadmill Running,No,5.02,400,00:44:44,141,155,137,178,08:55,07:07,--,--,1.32,00:07.8,00:41:22,--,--,Yes
Treadmill Running,7/7/22 13:10,Treadmill Running,No,6.32,589,00:52:15,160,174,144,162,08:16,07:07,--,--,1.35,02:19.8,00:50:42,--,--,Yes
Treadmill Running,7/8/22 15:03,Treadmill Running,No,2.16,196,00:20:38,142,157,132,247,09:32,05:32,--,--,1.27,01:14.7,00:18:47,--,--,Yes
Treadmill Running,7/9/22 11:33,Treadmill Running,No,6.53,590,00:54:03,158,174,143,221,08:17,05:00,--,--,1.36,04:52.2,00:51:50,--,--,Yes
