Activity_Type,Date,Title,Race,Distance,Calories,Time,Avg_HR,Max_HR,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Best_Lap_Time,Moving_Time,Min_Elevation,Max_Elevation,7_More_Hours_Sleep
Running,1/31/24 06:06,Myrtle Beach Running,No,5.04,403,00:45:21,140,156,150,186,08:59,06:04,75,72,1.17,00:44.7,00:43:45,12,39,No
Running,2/2/24 14:28,Myrtle Beach Running,No,4.63,425,00:38:31,152,169,157,169,08:19,01:21,75,56,1.23,05:10.9,00:38:25,22,69,Yes
Running,2/3/24 05:34,Myrtle Beach Running,No,3.01,293,00:24:53,158,177,161,170,08:16,07:09,36,7,1.21,00:04.7,00:24:35,33,68,No
Running,2/3/24 06:07,Myrtle Beach Running,No,6.01,559,00:53:21,153,172,164,171,08:53,08:06,49,43,1.1,00:08.1,00:53:19,16,47,No
Running,2/3/24 07:05,Horry County Running,No,13.02,"1,084",01:54:25,151,172,163,178,08:47,05:57,167,148,1.08,00:07.5,01:58:22,28,70,No
Treadmill Running,2/5/24 20:06,Treadmill Running,No,3.1,168,00:24:25,122,133,149,161,07:52,07:19,--,--,1.37,00:44.8,00:23:36,--,--,Yes
Running,2/7/24 06:01,Myrtle Beach Running,No,4.2,351,00:36:27,146,164,164,189,08:41,06:08,69,62,1.12,00:17.1,00:36:18,35,54,No
Running,2/15/24 06:04,Myrtle Beach Running,No,2.03,201,00:18:58,147,161,171,184,09:19,08:32,30,125,1.01,00:21.2,00:18:38,22,53,Yes
Running,2/27/24 19:34,Myrtle Beach Running,No,0.1,5,00:54.9,106,128,145,170,09:08,08:24,--,--,1.21,00:54.9,00:54.9,30,37,Yes
Running,2/29/24 05:59,Myrtle Beach Running,No,3.05,323,00:26:43,161,172,173,181,08:45,07:49,36,13,1.07,00:29.5,00:26:42,33,66,No
Running,3/2/24 06:35,Myrtle Beach Running,Yes,26.44,"2,362",04:54:41,138,183,143,250,11:09,07:05,125,148,1.01,03:50.0,04:52:17,24,83,Yes
Running,3/31/24 09:56,Myrtle Beach Running,No,2.73,249,00:40:11,116,130,118,150,14:43,11:38,36,39,0.93,00:10:37,00:38:55,14,37,Yes
Running,4/14/24 19:55,Myrtle Beach Running,No,6.2,595,01:05:48,143,165,136,244,10:37,07:28,79,79,1.12,01:55.4,01:05:25,19,54,Yes
Running,4/16/24 20:47,Myrtle Beach Running,No,3.24,279,00:35:18,130,158,133,163,10:54,08:03,20,20,1.11,02:06.3,00:35:17,32,47,Yes
Running,4/17/24 18:32,Myrtle Beach Running,No,3.26,306,00:34:34,138,160,135,164,10:36,07:19,49,75,1.13,02:42.4,00:33:56,20,47,Yes
Running,4/22/24 13:30,Henrico County Running,No,3.4,292,00:32:37,136,171,149,246,09:35,06:49,79,72,1.12,03:57.0,00:32:04,163,212,No
Running,4/25/24 17:14,Myrtle Beach Running,No,3.4,303,00:32:14,142,174,144,246,09:29,07:08,7,7,1.18,03:15.2,00:32:12,33,49,Yes
Running,4/27/24 06:45,Sunset Beach Running,Yes,13.2,"1,368",01:53:32,168,194,163,235,08:36,06:24,197,217,1.15,01:20.2,01:53:19,85,167,No
Running,5/4/24 08:23,Myrtle Beach Running,No,3.2,322,00:27:33,164,187,155,173,08:37,06:09,30,49,1.21,01:34.8,00:27:24,11,41,Yes
Running,5/8/24 06:10,Myrtle Beach Running,No,5.6,571,00:49:22,166,185,154,248,08:49,07:05,72,102,1.18,04:59.9,00:49:21,-4,37,No
Running,5/11/24 06:23,Myrtle Beach Running,No,2.01,181,00:16:33,154,170,160,170,08:15,07:03,7,30,1.22,00:02.8,00:16:28,23,47,Yes
Running,5/13/24 18:46,Myrtle Beach Running,No,2,186,00:16:42,156,168,157,168,08:20,07:26,20,--,1.23,08:19.7,00:16:37,36,60,No
Running,5/15/24 12:09,Myrtle Beach Running,No,2.21,180,00:18:26,145,176,156,166,08:19,07:20,7,23,1.24,01:42.4,00:18:16,19,41,Yes
Running,5/15/24 18:30,Myrtle Beach Running,No,3.34,324,00:28:19,164,178,157,174,08:28,07:17,30,36,1.21,02:52.3,00:28:09,7,31,Yes
Running,5/17/24 12:46,Myrtle Beach Running,No,2.04,155,00:17:07,137,166,157,168,08:24,07:28,13,7,1.22,00:17.5,00:16:49,24,38,Yes
Treadmill Running,5/19/24 19:35,Treadmill Running,No,2.51,180,00:17:37,152,181,157,164,07:02,06:37,--,--,1.45,03:30.8,00:17:36,--,--,Yes
Running,5/21/24 14:48,Myrtle Beach Running,No,2.12,194,00:17:14,160,171,160,168,08:08,07:16,13,13,1.24,00:58.2,00:17:08,34,47,Yes
Running,5/22/24 18:32,Myrtle Beach Running,No,2.15,193,00:18:25,149,166,158,173,08:33,07:09,7,36,1.2,01:17.5,00:17:53,--,30,Yes
Running,5/22/24 18:52,Myrtle Beach Running,No,1.52,112,00:12:57,148,164,145,209,08:31,05:34,7,7,1.13,01:50.4,00:10:56,2,18,Yes
Running,5/24/24 14:08,Myrtle Beach Running,No,9.42,753,01:20:07,157,183,144,250,08:30,05:50,105,105,1.19,06:30.6,01:11:55,6,42,Yes
Treadmill Running,5/28/24 19:29,Treadmill Running,No,7.01,537,00:51:23,151,171,154,229,07:20,06:39,--,--,1.43,00:02.7,00:50:29,--,--,Yes
Running,5/29/24 18:32,Myrtle Beach Running,No,3.38,325,00:31:41,150,169,145,195,09:22,04:36,30,33,1.18,03:29.8,00:30:34,11,31,Yes
Treadmill Running,5/29/24 20:20,Treadmill Running,No,3.02,214,00:23:45,135,148,148,216,07:52,07:08,--,--,1.38,00:09.2,00:23:02,--,--,Yes
Running,5/31/24 16:43,Running,No,0.7,30,00:06:21,134,149,83,160,09:04,08:10,--,--,1.18,03:21.2,00:01:45,12,17,Yes
Treadmill Running,5/31/24 20:37,Treadmill Running,No,1.33,105,00:10:01,145,159,155,162,07:30,07:03,--,--,1.38,02:27.7,09:54.7,--,--,Yes
Running,6/1/24 06:03,Myrtle Beach Running,No,9.51,935,01:17:19,168,189,162,183,08:08,06:37,30,56,1.22,04:03.9,01:17:17,-9,43,No
Running,6/3/24 12:19,Myrtle Beach Running,No,4.1,385,00:34:34,158,179,155,239,08:25,07:22,59,66,1.23,00:45.3,00:34:32,7,39,Yes
Running,6/8/24 08:03,New York Running,Yes,6.31,598,00:46:48,178,187,163,241,07:25,06:02,157,213,1.33,02:10.7,00:46:46,68,131,No
Treadmill Running,6/10/24 19:12,Treadmill Running,No,2.01,128,00:14:39,133,146,152,219,07:18,05:54,--,--,1.45,00:02.7,00:14:38,--,--,No
Running,6/12/24 18:32,Myrtle Beach Running,No,3.44,331,00:30:15,157,173,153,188,08:48,05:10,36,43,1.2,04:00.0,00:29:46,11,33,Yes
Running,6/13/24 18:03,Myrtle Beach Running,No,5.27,477,01:02:29,140,174,110,177,11:51,05:43,79,92,1.07,00:52.6,00:57:47,-7,37,Yes
Running,6/15/24 06:04,Myrtle Beach Running,No,10.2,949,01:25:38,165,191,154,249,08:24,05:25,36,66,1.22,01:26.4,01:25:15,-23,29,Yes
Running,6/17/24 21:20,Myrtle Beach Running,No,1,88,08:52.8,142,159,152,161,08:51,08:10,7,7,1.19,00:02.4,00:08:45,32,45,Yes
Running,6/17/24 21:45,Myrtle Beach Running,No,1.01,90,08:34.9,148,157,156,164,08:28,07:56,7,7,1.22,00:06.5,08:29.5,30,43,Yes
Running,6/18/24 12:23,Myrtle Beach Running,No,6.35,589,00:54:53,157,173,151,249,08:38,07:05,105,118,1.23,03:04.8,00:54:45,-7,38,Yes
Running,6/19/24 18:29,Myrtle Beach Running,No,3.3,301,00:30:06,146,158,150,169,09:07,07:10,59,59,1.18,03:00.5,00:29:01,17,46,Yes
Running,6/19/24 20:09,Myrtle Beach - W1 Wed Hills - Drop Set Hill Rep,No,5.7,537,00:50:50,155,172,147,247,08:55,01:12,315,338,1.23,00:00:20,00:49:53,14,68,Yes
Running,6/20/24 18:04,Myrtle Beach Running,No,4.81,415,00:55:27,131,170,116,232,11:32,06:00,95,72,1.12,00:42.3,00:53:09,31,70,No
Running,6/22/24 07:58,Myrtle Beach - W1 Sat Long Run - 11.2mi Moderat,No,11.25,"1,073",01:39:43,163,183,146,209,08:52,06:39,269,233,1.24,00:21.2,01:38:35,-26,36,Yes
Running,6/24/24 07:03,Myrtle Beach - W2 Mon Easy Run - 6.2mi Easy Run,No,6.22,633,00:51:38,169,182,158,172,08:18,07:13,177,167,1.23,00:06.0,00:51:25,-16,36,Yes
Running,6/25/24 18:33,Myrtle Beach Running,No,0.57,48,06:00.3,125,140,148,225,10:37,05:49,10,7,1.02,06:00.3,00:05:45,14,30,Yes
Running,6/25/24 18:48,Myrtle Beach Running,No,0.92,75,00:11:28,122,145,104,202,12:25,03:54,7,52,1.2,00:07.1,00:10:04,-37,-25,Yes
Running,6/25/24 19:02,Myrtle Beach Running,No,0.93,92,00:10:47,134,148,127,206,11:37,02:22,20,16,1.12,00:07.0,00:10:00,-51,-28,Yes
Running,6/25/24 20:17,Myrtle Beach - W2 Tue Intervals - 0.6mi Repeats,No,2.82,247,00:23:41,153,175,151,241,08:24,04:52,30,20,1.25,00:02.4,00:23:39,28,52,Yes
Running,6/26/24 18:32,Myrtle Beach Running,No,3.4,321,00:30:10,151,169,158,226,08:52,06:10,30,36,1.15,03:19.6,00:30:01,5,31,Yes
Running,6/27/24 07:03,Myrtle Beach - W2 Thu Tempo - Rolling 300s (5.8,No,6.01,595,00:50:04,168,188,152,250,08:19,06:10,30,20,1.27,00:01.0,00:49:33,13,40,Yes
Running,6/29/24 06:02,Myrtle Beach - W2 Sat Long Run - 12.4mi Long Ru,No,12.43,"1,201",01:44:32,169,180,158,175,08:24,07:11,49,92,1.21,00:11.4,01:44:01,-33,31,Yes
Running,7/1/24 07:00,Myrtle Beach - W3 Mon Easy Run - 6.8mi Easy Run,No,7.03,686,01:00:07,163,175,158,249,08:33,07:19,246,266,1.19,01:42.8,00:59:27,-10,45,No
Running,7/2/24 06:59,Myrtle Beach - W3 Tue Hills - Progressive Hill,No,7.35,662,01:01:33,160,178,157,249,08:23,05:36,374,390,1.22,00:01.6,01:01:22,-5,83,Yes
Running,7/2/24 18:48,Myrtle Beach Running,No,2.11,182,00:30:55,119,147,86,204,14:37,02:37,243,220,1.18,00:01.9,00:21:05,20,62,Yes
Running,7/2/24 19:25,Myrtle Beach Running,No,0.37,31,03:52.0,125,134,153,164,10:33,09:22,13,20,1,03:52.0,00:03:45,25,43,Yes
Running,7/3/24 07:04,Myrtle Beach - W3 Wed Tempo - Progressive Run (,No,5.82,526,00:46:45,161,175,162,246,08:02,06:33,138,187,1.24,01:30.3,00:46:15,-14,42,Yes
Running,7/3/24 18:33,Myrtle Beach Running,No,3.23,300,00:27:29,153,168,163,175,08:30,06:59,59,66,1.16,01:54.7,00:27:15,-16,18,Yes
Running,7/4/24 07:06,Myrtle Beach Running,Yes,3.14,270,00:22:47,166,180,168,191,07:15,06:21,--,7,1.32,00:56.6,00:22:46,30,43,No
Running,7/6/24 05:31,Myrtle Beach - W3 Sat Long Run - 13.7mi Moderat,No,8.65,814,01:17:35,155,168,162,189,08:58,07:53,220,249,1.11,01:46.1,01:16:51,-33,36,No
Running,7/9/24 18:33,Myrtle Beach Running,No,0.57,48,05:22.0,133,147,155,164,09:24,07:34,--,13,1.11,05:22.0,00:04:49,10,29,Yes
Treadmill Running,7/10/24 20:11,W4 Wed Tempo - Tempo 4k (4.3mi),No,0.4,27,03:22.5,127,139,156,165,08:27,07:33,--,--,1.22,03:22.5,00:03:16,--,--,Yes
Running,7/11/24 13:19,Running,No,0.51,31,03:53.8,126,140,157,168,07:38,08:35,--,--,1.09,03:53.8,00:03:44,7,12,Yes
Treadmill Running,7/12/24 13:58,W4 Fri Easy Run - 6.2mi Easy Run,No,6.21,407,00:49:39,136,145,156,168,08:00,07:25,--,--,1.29,00:03.7,00:49:00,--,--,Yes
Running,7/13/24 05:31,Myrtle Beach - W4 Sat Long Run - 7.5mi Long Run,No,14,"1,270",01:58:55,166,178,158,247,08:30,06:43,364,404,1.2,03:57.1,01:57:46,-42,36,Yes
Running,7/15/24 07:05,Myrtle Beach - W5 Mon Intervals - 0.6mi Repeats,No,7,715,01:00:26,172,182,158,244,08:38,07:21,338,394,1.18,00:07.1,00:59:55,-35,36,Yes
Running,7/16/24 18:33,Myrtle Beach Running,No,0.6,50,05:53.7,131,149,150,162,09:49,08:36,--,23,1.09,05:53.7,00:05:46,5,29,Yes
Running,10/26/24 07:01,Brunswick County Running,Yes,6.23,626,00:51:48,175,191,156,232,08:18,05:44,135,141,1.24,03:45.0,00:51:40,4,85,No
Running,11/1/24 09:23,New York Running,No,3.72,392,00:46:24,139,172,109,167,12:27,05:07,118,82,1.19,09:09.6,00:35:43,72,125,No
Running,11/2/24 08:48,New York Running,Yes,3.21,264,00:22:56,166,188,165,195,07:09,05:03,95,59,1.36,01:30.0,00:22:49,125,177,Yes
Running,11/14/24 14:10,Henrico County Running,No,4.01,434,00:38:59,163,187,146,250,09:44,05:56,112,269,1.13,00:02.2,00:38:46,216,276,Yes
Running,11/16/24 10:36,Henrico County Running,No,6.23,478,00:52:19,164,188,149,243,08:24,07:41,125,108,1.15,04:36.4,00:42:09,205,261,Yes
Running,11/22/24 12:39,Myrtle Beach Running,No,6.23,629,00:59:36,159,181,146,247,09:34,07:34,141,115,1.15,01:58.2,00:59:28,31,78,Yes
Running,11/23/24 12:08,Myrtle Beach Running,No,6.36,646,01:00:27,163,187,144,249,09:30,06:38,102,66,1.17,02:55.9,01:00:16,31,79,Yes
Running,11/27/24 07:16,Myrtle Beach Running,No,3.16,290,00:24:31,173,187,159,168,07:46,06:08,56,20,1.31,01:05.2,00:24:10,35,81,Yes
Running,11/28/24 08:05,Surfside Beach Running,Yes,6.11,590,00:50:52,172,184,156,239,08:19,04:57,36,43,1.24,00:37.7,00:50:48,-8,31,No
Running,11/30/24 12:06,Myrtle Beach Running,No,4.08,377,00:36:54,159,174,151,249,09:02,06:57,82,43,1.18,00:39.7,00:36:35,34,85,Yes
Treadmill Running,11/30/24 15:33,Treadmill Running,No,7.02,504,00:52:43,148,159,154,162,07:31,07:09,--,--,1.39,00:06.9,00:52:34,--,--,Yes
Running,12/5/24 14:25,Henrico County Running,No,1.66,149,00:15:34,147,169,149,173,09:24,07:23,79,46,1.15,06:55.3,00:15:14,206,268,Yes
Running,12/18/24 12:43,Henrico County Running,No,5.01,494,00:43:55,167,190,145,243,08:46,07:00,148,98,1.26,00:02.6,00:43:19,166,243,Yes
Running,12/19/24 13:12,Henrico County Running,No,5.12,497,00:45:22,164,185,149,249,08:51,05:56,161,108,1.22,00:54.0,00:44:43,171,237,Yes
Running,12/20/24 11:14,Henrico County Running,No,5.2,493,00:44:10,167,188,151,248,08:30,06:25,167,108,1.26,01:38.9,00:43:47,171,255,Yes
Running,12/21/24 10:04,Henrico County Running,No,3.1,295,00:28:51,157,181,150,237,09:18,06:51,89,75,1.16,00:49.2,00:28:40,165,230,No
Treadmill Running,12/22/24 13:09,Treadmill Running,No,6.2,441,00:54:29,145,158,152,225,08:47,05:02,--,--,1.38,01:30.7,00:47:08,--,--,Yes
Treadmill Running,12/23/24 13:12,Treadmill Running,No,1,79,07:37.4,151,162,155,222,07:36,07:06,--,--,1.36,00:02.0,00:07:29,--,--,Yes
Running,12/25/24 16:26,Myrtle Beach Running,No,2.3,214,00:21:47,150,172,146,243,09:28,07:29,46,30,1.16,02:56.0,00:21:28,36,73,No
Running,12/25/24 17:04,Myrtle Beach Running,No,1.02,95,08:31.9,163,170,158,167,08:20,07:46,--,--,1.22,00:11.6,00:08:24,73,81,No
Treadmill Running,12/28/24 14:10,Treadmill Running,No,10.01,858,01:24:17,162,175,151,160,08:25,07:12,--,--,1.36,00:04.9,01:17:40,--,--,Yes
Treadmill Running,12/30/24 17:53,Treadmill Running,No,6,494,00:48:27,153,174,148,161,08:04,07:20,--,--,1.35,00:01.9,00:47:28,--,--,Yes
Treadmill Running,12/31/24 14:39,Treadmill Running,No,6.02,476,00:48:45,149,160,148,163,08:06,07:08,--,--,1.34,00:08.6,00:47:10,--,--,Yes
Treadmill Running,1/2/25 16:59,Treadmill Running,No,7.01,556,00:55:17,152,162,150,234,07:53,06:56,--,--,1.36,00:04.1,00:54:19,--,--,Yes
Treadmill Running,1/4/25 11:34,Treadmill Running,No,10.01,780,01:18:20,154,167,150,249,07:49,04:50,--,--,1.37,00:04.6,01:17:42,--,--,Yes
Treadmill Running,1/6/25 18:13,Treadmill Running,No,3,235,00:22:49,149,159,151,240,07:36,06:13,--,--,1.11,03:29.0,00:22:47,--,--,Yes
Treadmill Running,1/8/25 07:10,Treadmill Running,No,6.21,509,00:47:44,156,169,154,222,07:41,07:10,--,--,1.36,01:32.9,00:47:17,--,--,No
Treadmill Running,1/15/25 07:11,Treadmill Running,No,7.21,610,00:57:11,157,170,149,159,07:56,07:26,--,--,1.36,01:35.4,00:56:28,--,--,Yes
Treadmill Running,1/17/25 14:25,Treadmill Running,No,7,537,00:54:39,149,163,151,247,07:48,04:52,--,--,1.37,00:02.0,00:54:37,--,--,Yes
Treadmill Running,1/18/25 15:44,Treadmill Running,No,5.01,414,00:39:30,154,167,150,213,07:53,07:08,--,--,1.36,00:01.7,00:39:18,--,--,Yes
Running,1/18/25 17:29,Myrtle Beach Running,No,3.01,286,00:27:25,155,168,148,243,09:07,06:50,59,30,1.19,00:03.6,00:27:18,36,72,Yes
Treadmill Running,1/20/25 16:39,Treadmill Running,No,7.01,558,00:53:34,155,166,150,225,07:39,07:03,--,--,1.4,00:02.4,00:52:48,--,--,Yes
Treadmill Running,1/24/25 16:49,Treadmill Running,No,8,615,01:00:56,152,171,150,158,07:37,07:13,--,--,1.41,00:01.7,01:00:50,--,--,Yes
Running,1/25/25 14:04,Myrtle Beach - 2025-01-25 Threshold Repeats,No,6.81,672,01:00:41,166,181,149,248,08:55,07:09,131,102,1.21,00:41.0,01:00:32,33,84,Yes
Treadmill Running,1/26/25 12:26,2025-01-26 Easy Run,No,4.03,302,00:30:01,151,166,152,159,07:27,07:03,--,--,1.42,00:03.8,00:29:51,--,--,No
Running,1/27/25 16:36,Myrtle Beach - 2025-01-27 Easy Run,No,3.35,290,00:30:33,147,172,146,163,09:06,07:26,59,13,1.21,01:27.1,00:30:31,33,83,Yes
Running,1/29/25 07:10,Myrtle Beach - 2025-01-29 Fartleks,No,7.45,663,01:05:00,157,174,151,248,08:44,06:38,115,102,1.22,00:05.3,01:04:22,31,79,No
Treadmill Running,1/30/25 07:17,2025-01-30 Easy Run,No,4.2,333,00:30:03,158,171,154,222,07:10,05:51,--,--,1.46,00:45.1,00:29:57,--,--,Yes
Running,2/1/25 06:05,Myrtle Beach - 2025-02-01 Long Run,No,8.32,812,01:13:55,161,178,154,169,08:53,06:52,62,79,1.17,01:03.6,01:13:13,-62,5,No
Running,2/2/25 11:12,Myrtle Beach - 2025-02-02 Easy Run,No,3.22,285,00:28:08,149,165,153,237,08:44,07:17,79,52,1.2,01:53.6,00:28:00,36,71,Yes
Treadmill Running,2/3/25 07:17,2025-02-03 Easy Run,No,3.25,261,00:25:07,148,163,156,163,07:44,06:50,--,--,1.34,00:06.6,00:25:05,--,--,Yes
Running,2/5/25 07:08,Myrtle Beach - 2025-02-05 MAV Shuttles,No,8,753,01:10:30,162,180,151,246,08:49,05:47,121,115,1.21,00:00:20,01:10:08,23,72,Yes
Running,2/6/25 14:13,Myrtle Beach - 2025-02-06 Easy Run,No,2.81,250,00:25:00,145,170,147,241,08:55,07:17,43,23,1.22,00:05.2,00:25:00,33,66,No
Running,2/8/25 06:05,Myrtle Beach - 2025-02-08 Long Run,No,10.02,986,01:29:02,161,175,158,248,08:53,07:09,69,79,1.14,00:22.2,01:28:57,-43,7,No
Running,2/9/25 15:28,Myrtle Beach - 2025-02-09 Easy Run,No,2.06,185,00:20:02,139,156,147,240,09:42,05:46,23,7,1.13,00:02.3,00:19:24,35,56,Yes
Running,2/10/25 17:15,Myrtle Beach - 2025-02-10 Easy Run,No,2.8,239,00:25:19,142,159,151,238,09:02,07:11,56,36,1.18,00:18.9,00:25:09,34,75,No
Running,2/12/25 16:42,Myrtle Beach Running,No,8.1,729,01:10:13,153,176,152,244,08:40,06:22,118,82,1.22,00:43.4,01:09:39,35,110,No
Running,2/15/25 15:24,Henrico County - 2025-02-15 Easy Run,No,2.33,187,00:20:49,136,155,154,243,08:57,06:39,105,46,1.16,00:37.9,00:20:48,165,252,No
Running,2/16/25 13:44,Henrico County - 2025-02-16 Marathon Repeats,No,7,657,01:06:28,152,182,143,248,09:29,07:41,325,302,1.18,00:13.9,01:05:57,148,217,Yes
Running,2/18/25 17:33,Henrico County - 2025-02-18 Easy Run,No,3.1,210,00:25:30,131,158,153,171,08:13,07:02,125,69,1.24,00:29.8,00:25:05,164,244,Yes
Running,2/22/25 11:05,Henrico County - 2025-02-22 Long Run,No,8,700,01:12:34,148,166,149,243,09:04,06:33,269,131,1.19,01:18.1,01:12:08,164,256,Yes
Running,2/23/25 17:13,Henrico County - 2025-02-23 Easy Run,No,2.15,173,00:20:07,132,161,152,169,09:22,07:14,62,46,1.13,00:07.1,00:19:50,161,210,Yes
Running,2/24/25 17:06,Henrico County - 2025-02-24 Easy Run,No,2.75,227,00:26:01,135,161,148,236,09:28,04:15,95,95,1.15,00:33.6,00:25:59,166,217,Yes
Running,2/26/25 10:04,Henrico County - 2025-02-26 Progression Run,No,7.63,723,01:05:51,158,174,150,247,08:38,06:52,164,164,1.24,00:06.0,01:05:28,166,228,Yes
Running,3/1/25 10:56,Henrico County - 2025-03-01 Long Run,No,11,986,01:34:03,158,173,149,248,08:33,06:46,328,302,1.23,00:13.2,01:33:15,166,221,Yes
Running,3/2/25 17:02,Henrico County - 2025-03-02 Easy Run,No,2.93,278,00:25:07,156,178,154,164,08:34,07:06,95,75,1.22,00:07.0,00:24:59,207,262,Yes
Running,3/3/25 17:29,Henrico County - 2025-03-03 Easy Run,No,3.01,260,00:25:43,145,171,153,166,08:32,06:21,108,79,1.24,00:43.2,00:25:32,163,228,Yes
Running,3/5/25 09:44,Henrico County - 2025-03-05 Fartleks,No,7.7,756,01:05:21,163,179,153,244,08:29,07:09,305,341,1.24,00:21.0,01:05:07,165,269,Yes
Running,3/6/25 14:30,Henrico County - 2025-03-06 Easy Run,No,2.9,249,00:25:36,142,164,157,166,08:50,07:21,112,118,1.16,00:36.3,00:25:35,190,245,Yes
Running,3/10/25 18:44,Henrico County Running,No,4.2,335,00:35:08,142,176,153,163,08:22,07:44,135,108,1.26,01:50.8,00:34:31,165,219,Yes
Running,3/11/25 16:21,Henrico County - 2025-03-11 Long Run,No,2.01,160,00:17:58,135,153,150,164,08:57,07:19,72,72,1.2,01:31.3,00:17:44,163,206,Yes
Running,3/15/25 08:00,Washington Running,Yes,13.27,"1,199",01:46:13,169,182,157,243,08:00,06:10,361,341,1.26,00:41.3,01:46:11,-14,177,No
Running,3/19/25 13:31,Henrico County - 2025-03-19 Recovery Run,No,4,380,00:33:44,160,181,149,164,08:26,06:54,121,131,1.28,01:27.5,00:33:38,150,194,Yes
Running,3/22/25 08:00,Prince William County Running,Yes,11,"1,097",01:33:18,172,184,157,250,08:29,05:50,791,778,1.21,07:39.4,01:33:08,186,425,No
Running,3/29/25 06:03,Myrtle Beach Running,No,8.01,768,01:31:06,144,184,125,225,11:22,07:07,49,69,1.11,00:06.5,01:30:34,-57,-3,No
Treadmill Running,3/31/25 13:30,Treadmill Running,No,3.12,224,00:26:05,135,146,151,217,08:21,07:59,--,--,1.28,01:00.3,00:25:48,--,--,Yes
Treadmill Running,3/31/25 14:07,Treadmill Running,No,2,155,00:16:52,139,150,152,220,08:25,07:53,--,--,1.26,00:01.8,00:16:52,--,--,Yes
Running,4/13/25 14:13,Richmond Walking,No,3.67,144,00:33:40,98,126,93,122,09:10,16:26,43,--,0.86,00:13:12,00:31:51,121,169,Yes
Running,4/14/25 11:29,Henrico County Running,No,2.86,275,00:26:01,156,179,141,164,09:06,06:59,98,92,1.25,08:13.7,00:25:52,162,211,Yes
Running,4/14/25 12:21,Henrico County Running,No,1.11,115,00:10:01,167,182,147,160,09:00,07:23,43,36,1.22,01:00.3,00:10:01,182,220,Yes
Running,4/20/25 21:05,Myrtle Beach Running,No,4.03,410,00:39:04,159,174,137,235,09:42,06:36,56,69,1.2,00:13.5,00:38:57,26,60,Yes
Running,4/21/25 12:05,Myrtle Beach Running,No,1.01,85,08:13.5,154,172,148,162,08:10,06:36,20,13,1.33,00:02.8,08:06.8,28,44,Yes
Treadmill Running,4/21/25 16:28,Treadmill Running,No,4.01,311,00:29:27,153,170,150,163,07:21,06:28,--,--,1.46,00:02.8,00:29:19,--,--,Yes
Treadmill Running,4/22/25 17:09,Treadmill Running,No,6.51,470,00:45:27,151,166,151,159,06:59,06:23,--,--,1.52,03:26.8,00:45:18,--,--,Yes
Running,4/23/25 07:22,Myrtle Beach Running,No,5.1,475,00:46:53,157,173,143,240,09:11,06:59,43,59,1.22,00:46.0,00:46:38,13,48,No
Treadmill Running,4/25/25 08:16,Treadmill Running,No,10,2,01:22:23,62,68,--,--,08:14,--,--,--,--,02:22.7,00:00:00,--,--,Yes
Treadmill Running,4/28/25 19:43,Treadmill Running,No,5.01,371,00:37:22,150,163,149,159,07:28,06:39,--,--,1.45,00:02.2,00:37:14,--,--,Yes
Treadmill Running,4/30/25 12:40,Treadmill Running,No,7.03,512,00:51:08,150,159,150,157,07:17,06:48,--,--,1.47,00:10.8,00:51:03,--,--,Yes
Treadmill Running,5/1/25 12:00,Treadmill Running,No,8.31,665,01:00:11,160,170,150,229,07:15,05:03,--,--,1.48,02:09.8,00:59:40,--,--,Yes
Treadmill Running,5/2/25 19:04,Treadmill Running,No,5,380,00:36:19,152,161,152,159,07:15,06:47,--,--,1.46,00:01.9,00:36:09,--,--,Yes
Treadmill Running,5/3/25 11:04,Treadmill Running,No,8.22,562,01:00:02,149,160,151,237,07:18,05:12,--,--,1.46,01:39.3,00:59:49,--,--,Yes
Treadmill Running,5/5/25 20:01,Treadmill Running,No,5.5,407,00:41:11,149,158,149,218,07:29,06:37,--,--,1.44,03:39.4,00:40:46,--,--,Yes
Treadmill Running,5/7/25 12:42,Treadmill Running,No,8.54,602,01:00:02,151,163,154,163,07:02,06:35,--,--,1.48,03:42.5,00:59:51,--,--,Yes
Running,5/10/25 08:00,Myrtle Beach Running,No,11.01,"1,064",01:37:34,168,182,147,250,08:52,06:45,174,197,1.23,00:01.7,01:37:17,-5,58,Yes
Running,5/13/25 15:57,Henrico County Running,No,6.03,565,00:54:11,157,173,147,238,08:59,07:21,374,377,1.22,00:18.5,00:54:04,160,240,Yes
Running,5/16/25 07:16,Fairfax County Running,No,6.26,689,00:58:36,171,183,146,235,09:22,02:07,259,266,1.18,02:35.4,00:58:13,73,165,Yes
Running,5/20/25 17:08,Henrico County Running,No,3.2,292,00:28:20,155,173,139,239,08:51,06:31,105,112,1.31,01:56.5,00:28:08,160,200,Yes
Running,5/20/25 17:52,Henrico County Running,No,1.11,105,09:26.5,161,175,142,225,08:31,06:59,43,30,1.33,01:04.3,00:09:15,159,189,Yes
Running,5/26/25 11:04,Barcelona - Tempo,No,5.6,621,00:48:53,171,183,148,250,08:44,06:38,52,59,1.24,01:59.2,00:48:31,16,52,Yes
Running,5/27/25 07:42,Barcelona Running,No,6.6,603,00:54:06,167,181,152,237,08:12,06:26,89,75,1.29,05:13.0,00:53:46,-26,15,Yes
Treadmill Running,6/2/25 06:20,Treadmill Running,No,6.2,470,00:44:09,157,174,152,161,07:07,06:37,--,--,1.49,01:25.0,00:44:04,--,--,Yes
